Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
9.06667,511,1,,
9.08333,512,1,,
9.1,513,1,,
9.11667,514,1,,
9.13333,515,1,,
9.15,516,1,,
9.16667,517,1,,
9.18333,518,1,,
9.2,519,1,,
9.21667,520,1,,
9.23333,521,1,,
9.25,522,1,,
9.26667,523,1,,
9.28333,524,1,,
9.3,525,1,,
9.31667,526,1,,
9.33333,527,1,,
9.35,528,1,,
9.36667,529,1,,
9.38333,530,1,,
9.4,531,1,,
9.41667,532,1,,
9.43333,533,1,,
9.45,534,1,,
9.46667,535,1,,
9.48333,536,1,,
9.5,537,1,,
9.51667,538,1,,
9.53333,539,1,,
9.55,540,1,,
9.56667,541,1,,
9.58333,542,1,,
9.6,543,1,,
9.61667,544,1,,
9.63333,545,1,,
9.65,546,1,,
9.66667,547,1,,
9.68333,548,1,,
9.7,549,1,,
9.71667,550,1,,
9.73333,551,1,,
9.75,552,1,,
9.76667,553,1,,
9.78333,554,1,,
9.8,555,1,,
9.81667,556,1,,
9.83333,557,1,,
9.85,558,1,,
9.86667,559,1,,
9.88333,560,1,,
9.9,561,1,,
9.91667,562,1,,
9.93333,563,1,,
9.95,564,1,,
9.96667,565,1,,
9.98333,566,1,,
10,567,1,,
10.0167,568,1,,
10.0333,569,1,,
10.05,570,1,,
10.0667,571,1,,
10.0833,572,1,,
10.1,573,1,,
10.1167,574,1,,
10.1333,575,1,,
10.15,576,1,,
10.1667,577,1,,
10.1833,578,1,,
10.2,579,1,,
10.2167,580,1,,
10.2333,581,1,,
10.25,582,1,,
10.2667,583,1,,
10.2833,584,1,,
10.3,585,1,,
10.3167,586,1,,
10.3333,587,1,,
10.35,588,1,,
10.3667,589,1,,
10.3833,590,1,,
10.4,591,1,,
10.4167,592,1,,
10.4333,593,1,,
10.45,594,1,,
10.4667,595,1,,
10.4833,596,1,,
10.5,597,1,,
10.5167,598,1,,
10.5333,599,1,,
10.55,600,1,,
10.5667,601,1,,
