Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
8.08333,454,1,,
8.1,455,1,,
8.11667,456,1,,
8.13333,457,1,,
8.15,458,1,,
8.16667,459,1,,
8.18333,460,1,,
8.2,461,1,,
8.21667,462,1,,
8.23333,463,1,,
8.25,464,1,,
8.26667,465,1,,
8.28333,466,1,,
8.3,467,1,,
8.31667,468,1,,
8.33333,469,1,,
8.35,470,1,,
8.36667,471,1,,
8.38333,472,1,,
8.4,473,1,,
8.41667,474,1,,
8.43333,475,1,,
8.45,476,1,,
8.46667,477,1,,
8.48333,478,1,,
8.5,479,1,,
8.51667,480,1,,
8.53333,481,1,,
8.55,482,1,,
8.56667,483,1,,
8.58333,484,1,,
8.6,485,1,,
8.61667,486,1,,
8.63333,487,1,,
8.65,488,1,,
8.66667,489,1,,
8.68333,490,1,,
8.7,491,1,,
8.71667,492,1,,
8.73333,493,1,,
8.75,494,1,,
8.76667,495,1,,
8.78333,496,1,,
8.8,497,1,,
8.81667,498,1,,
8.83333,499,1,,
8.85,500,1,,
8.86667,501,1,,
8.88333,502,1,,
8.9,503,1,,
8.91667,504,1,,
8.93333,505,1,,
8.95,506,1,,
8.96667,507,1,,
8.98333,508,1,,
9,509,1,,
9.01667,510,1,,
9.03333,511,1,,
9.05,512,1,,
9.06667,513,1,,
9.08333,514,1,,
9.1,515,1,,
9.11667,516,1,,
9.13333,517,1,,
9.15,518,1,,
9.16667,519,1,,
9.18333,520,1,,
9.2,521,1,,
9.21667,522,1,,
9.23333,523,1,,
9.25,524,1,,
9.26667,525,1,,
9.28333,526,1,,
9.3,527,1,,
9.31667,528,1,,
9.33333,529,1,,
9.35,530,1,,
9.36667,531,1,,
9.38333,532,1,,
9.4,533,1,,
9.41667,534,1,,
9.43333,535,1,,
9.45,536,1,,
9.46667,537,1,,
9.48333,538,1,,
9.5,539,1,,
9.51667,540,1,,
9.53333,541,1,,
9.55,542,1,,
9.56667,543,1,,
9.58333,544,1,,
9.6,545,1,,
9.61667,546,1,,
9.63333,547,1,,
9.65,548,1,,
9.66667,549,1,,
9.68333,550,1,,
9.7,551,1,,
9.71667,552,1,,
9.73333,553,1,,
9.75,554,1,,
9.76667,555,1,,
9.78333,556,1,,
9.8,557,1,,
9.81667,558,1,,
9.83333,559,1,,
9.85,560,1,,
9.86667,561,1,,
9.88333,562,1,,
9.9,563,1,,
9.91667,564,1,,
9.93333,565,1,,
9.95,566,1,,
9.96667,567,1,,
9.98333,568,1,,
10,569,1,,
10.0167,570,1,,
10.0333,571,1,,
10.05,572,1,,
10.0667,573,1,,
10.0833,574,1,,
10.1,575,1,,
10.1167,576,1,,
10.1333,577,1,,
10.15,578,1,,
10.1667,579,1,,
10.1833,580,1,,
10.2,581,1,,
10.2167,582,1,,
10.2333,583,1,,
10.25,584,1,,
10.2667,585,1,,
10.2833,586,1,,
10.3,587,1,,
10.3167,588,1,,
10.3333,589,1,,
10.35,590,1,,
10.3667,591,1,,
10.3833,592,1,,
10.4,593,1,,
10.4167,594,1,,
10.4333,595,1,,
10.45,596,1,,
10.4667,597,1,,
10.4833,598,1,,
10.5,599,1,,
10.5167,600,1,,
10.5333,601,1,,
10.55,602,1,,
10.5667,603,1,,
10.5833,604,1,,
10.6,605,1,,
10.6167,606,1,,
10.6333,607,1,,
10.65,608,1,,
10.6667,609,1,,
10.6833,610,1,,
10.7,611,1,,
10.7167,612,1,,
10.7333,613,1,,
10.75,614,1,,
10.7667,615,1,,
10.7833,616,1,,
10.8,617,1,,
10.8167,618,1,,
10.8333,619,1,,
10.85,620,1,,
10.8667,621,1,,
10.8833,622,1,,
10.9,623,1,,
10.9167,624,1,,
10.9333,625,1,,
10.95,626,1,,
10.9667,627,1,,
10.9833,628,1,,
11,629,1,,
11.0167,630,1,,
11.0333,631,1,,
11.05,632,1,,
11.0667,633,1,,
11.0833,634,1,,
11.1,635,1,,
11.1167,636,1,,
11.1333,637,1,,
11.15,638,1,,
11.1667,639,1,,
11.1833,640,1,,
11.2,641,1,,
11.2167,642,1,,
11.2333,643,1,,
11.25,644,1,,
